Ancestro Racial Definitivo;Año;Ciclo Vital Definitivo;Cod Mipio;Clasificación de la Desaparición;Departamento Hecho Dane;Día Definitivo;Entidad Usuario que Radica DEFINITIVO;Escolaridad ajustada;Estado Desaparición Definitivo;Estado civil;Factor de vulnerabilidad;Grupo EDAD;Localidad;Mayor Menor De Edad;Mes Definitivo;Municipio Hecho Dane;Número de registros;Sexo;Tipo aparición DEFINITIVA;Zona ocurrencia DEFINITIVO
Mestizo;01/01/2017 12:00:00 AM;(00 a 05) Primera Infancia;11,001;Sin información;Bogotá D.C.;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(00 a 04);NA;a) Menores de Edad (<18 años);Junio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Para verificación de identidad;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Sin Información;Ninguno;(05 a 09);Chapinero;a) Menores de Edad (<18 años);Octubre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Indigena;01/01/2017 12:00:00 AM;(06 a 11) Infancia;44,001;Desaparición presuntamente forzada;La Guajira;Martes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Otro;(10 a 14);NA;a) Menores de Edad (<18 años);Julio;Riohacha;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(06 a 11) Infancia;86,001;Desastre natural;Putumayo;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Sin Información;Sin información;(10 a 14);NA;a) Menores de Edad (<18 años);Marzo;Mocoa;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(06 a 11) Infancia;25,286;Presunto secuestro;Cundinamarca;Viernes;Fiscalía General de la Nación;Sin información;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Septiembre;Funza;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(06 a 11) Infancia;86,001;Desastre natural;Putumayo;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(05 a 09);NA;a) Menores de Edad (<18 años);Abril;Mocoa;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Kennedy;a) Menores de Edad (<18 años);Noviembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(06 a 11) Infancia;76,001;Sin información;Valle del Cauca;Domingo;Fiscalía General de la Nación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Agosto;Santiago de Cali;1;Mujer;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(06 a 11) Infancia;76,001;Sin información;Valle del Cauca;Domingo;Fiscalía General de la Nación;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(05 a 09);NA;a) Menores de Edad (<18 años);Agosto;Santiago de Cali;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(06 a 11) Infancia;73,319;Sin información;Tolima;Lunes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Soltero (a);Sin información;(10 a 14);NA;a) Menores de Edad (<18 años);Octubre;Guamo;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);San Cristobal;a) Menores de Edad (<18 años);Mayo;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Lunes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Otro;(10 a 14);Engativa;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Desaparición presuntamente forzada;Bogotá D.C.;Lunes;Comisión  Búsqueda Personas Desaparecidas;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Puente Aranda;a) Menores de Edad (<18 años);Junio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Martes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Ciudad Bolivar;a) Menores de Edad (<18 años);Junio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(06 a 11) Infancia;25,899;Sin información;Cundinamarca;Martes;Policía Nacional;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Sin información;(05 a 09);NA;a) Menores de Edad (<18 años);Agosto;Zipaquirá;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Miércoles;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Kennedy;a) Menores de Edad (<18 años);Julio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(06 a 11) Infancia;76,02;Sin información;Valle del Cauca;Miércoles;Policía Nacional;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Noviembre;Alcalá;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;54,001;Sin información;Norte de Santander;Sábado;Fiscalía General de la Nación;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Noviembre;Cúcuta;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(06 a 11) Infancia;86,001;Desastre natural;Putumayo;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(05 a 09);NA;a) Menores de Edad (<18 años);Marzo;Mocoa;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Usme;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(05 a 09);NA;a) Menores de Edad (<18 años);Junio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación inicial y educación preescolar;Continua Desaparecido;Soltero (a);Ninguno;(05 a 09);Suba;a) Menores de Edad (<18 años);Junio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(06 a 11) Infancia;11,001;Sin información;Bogotá D.C.;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Sin información;Continua Desaparecido;Soltero (a);Ninguno;(05 a 09);NA;a) Menores de Edad (<18 años);Mayo;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Negro;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;76,001;Sin información;Valle del Cauca;Domingo;Personería;Sin información;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Febrero;Santiago de Cali;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);Kennedy;a) Menores de Edad (<18 años);Septiembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Jueves;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Sin Información;Ninguno;(15 a 17);Bosa;a) Menores de Edad (<18 años);Septiembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;54,498;Sin información;Norte de Santander;Jueves;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Noviembre;Ocaña;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Martes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Ninguno;(15 a 17);Puente Aranda;a) Menores de Edad (<18 años);Abril;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;73,268;Sin información;Tolima;Martes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Sin información;(10 a 14);NA;a) Menores de Edad (<18 años);Junio;Espinal;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;76,52;Sin información;Valle del Cauca;Martes;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Sin información;(15 a 17);NA;a) Menores de Edad (<18 años);Octubre;Palmira;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;68,001;Sin información;Santander;Miércoles;Fiscalía General de la Nación;Educación básica primaria;Continua Desaparecido;Sin Información;Otro;(10 a 14);NA;a) Menores de Edad (<18 años);Noviembre;Bucaramanga;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;18,001;Sin información;Caquetá;Miércoles;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Julio;Florencia;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;54,498;Sin información;Norte de Santander;Miércoles;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Noviembre;Ocaña;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;76,111;Sin información;Valle del Cauca;Sábado;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Sin Información;Sin información;(15 a 17);NA;a) Menores de Edad (<18 años);Julio;Guadalajara de Buga;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Sábado;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);Usme;a) Menores de Edad (<18 años);Noviembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;54,498;Sin información;Norte de Santander;Sábado;Fiscalía - Cuerpo Técnico Investigación;Sin información;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Agosto;Ocaña;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;76,001;Sin información;Valle del Cauca;Viernes;Policía Nacional;Educación básica primaria;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Junio;Santiago de Cali;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;66,682;Sin información;Risaralda;Viernes;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Sin Información;Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Agosto;Santa Rosa de Cabal;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Viernes;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Sin Información;Ninguno;(15 a 17);Chapinero;a) Menores de Edad (<18 años);Noviembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Sin Información;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;54,498;Sin información;Norte de Santander;Viernes;Fiscalía - Cuerpo Técnico Investigación;Educación básica secundaria o secundaria baja;Continua Desaparecido;Sin Información;Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Septiembre;Ocaña;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Kennedy;a) Menores de Edad (<18 años);Octubre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;76,4;Sin información;Valle del Cauca;Domingo;Personería;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Sin información;(15 a 17);NA;a) Menores de Edad (<18 años);Marzo;La Unión;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Suba;a) Menores de Edad (<18 años);Octubre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Suba;a) Menores de Edad (<18 años);Octubre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Blanco;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;73,411;Sin información;Tolima;Domingo;Policía Nacional;Sin información;Continua Desaparecido;Soltero (a);Desplazados (as);(10 a 14);NA;a) Menores de Edad (<18 años);Febrero;Líbano;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;17,001;Sin información;Caldas;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Sin información;(15 a 17);NA;a) Menores de Edad (<18 años);Abril;Manizales;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(10 a 14);Usme;a) Menores de Edad (<18 años);Abril;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Engativa;a) Menores de Edad (<18 años);Abril;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;18,001;Sin información;Caquetá;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Agosto;Florencia;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);San Cristobal;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Tunjuelito;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Ciudad Bolivar;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Antonio Nariño;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Rafael Uribe Uribe;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Rafael Uribe Uribe;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Suba;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Suba;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;13,001;Sin información;Bolívar;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Julio;Cartagena;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Suba;a) Menores de Edad (<18 años);Julio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Usme;a) Menores de Edad (<18 años);Julio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);San Cristobal;a) Menores de Edad (<18 años);Junio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Suba;a) Menores de Edad (<18 años);Mayo;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;47,001;Sin información;Magdalena;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Noviembre;Santa Marta;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;54,001;Sin información;Norte de Santander;Domingo;Fiscalía - Cuerpo Técnico Investigación;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);NA;a) Menores de Edad (<18 años);Noviembre;Cúcuta;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Tunjuelito;a) Menores de Edad (<18 años);Noviembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Consumidores de sustancias psicoactivas (drogas, alcohol, etc.);(15 a 17);Ciudad Bolivar;a) Menores de Edad (<18 años);Noviembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Rafael Uribe Uribe;a) Menores de Edad (<18 años);Noviembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Engativa;a) Menores de Edad (<18 años);Octubre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Chapinero;a) Menores de Edad (<18 años);Septiembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);NA;a) Menores de Edad (<18 años);Septiembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica primaria;Continua Desaparecido;Soltero (a);Ninguno;(10 a 14);Usme;a) Menores de Edad (<18 años);Septiembre;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);San Cristobal;a) Menores de Edad (<18 años);Abril;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);San Cristobal;a) Menores de Edad (<18 años);Abril;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Kennedy;a) Menores de Edad (<18 años);Agosto;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
Mestizo;01/01/2017 12:00:00 AM;(12 a 17) Adolescencia;11,001;Sin información;Bogotá D.C.;Domingo;Instituto Nacional de Medicina Legal y Ciencias Forenses;Educación básica secundaria o secundaria baja;Continua Desaparecido;Soltero (a);Ninguno;(15 a 17);Ciudad Bolivar;a) Menores de Edad (<18 años);Julio;Bogotá D.C.;1;Mujer;Sin Información;Cabecera Municipal
